Class,Cluster
org.apache.hadoop.mapred.FileAlreadyExistsException,0
org.apache.hadoop.mapred.JobContextImpl,2
org.apache.hadoop.mapred.OutputCollector,9
org.apache.hadoop.mapred.TaskLog,5
org.apache.hadoop.mapred.JVMId,1
org.apache.hadoop.mapred.JobQueueClient,2
org.apache.hadoop.mapred.JobTracker,2
org.apache.hadoop.mapred.ReduceTaskStatus,2
org.apache.hadoop.mapred.ClusterStatus,2
org.apache.hadoop.mapred.Task,5
org.apache.hadoop.mapred.FixedLengthInputFormat,1
org.apache.hadoop.mapred.SequenceFileInputFilter,14
org.apache.hadoop.mapred.MapOutputFile,5
org.apache.hadoop.mapred.InputFormat,4
org.apache.hadoop.mapred.JobQueueInfo,2
org.apache.hadoop.mapred.ReduceTask,5
org.apache.hadoop.mapred.TaskUmbilicalProtocol,2
org.apache.hadoop.mapred.Partitioner,13
org.apache.hadoop.mapred.Operation,15
org.apache.hadoop.mapred.JobConf,5
org.apache.hadoop.mapred.OutputLogFilter,11
org.apache.hadoop.mapred.QueueACL,0
org.apache.hadoop.mapred.RawKeyValueIterator,12
org.apache.hadoop.mapred.StatePeriodicStats,3
org.apache.hadoop.mapred.QueueManager,5
org.apache.hadoop.mapred.TaskID,2
org.apache.hadoop.mapred.Reducer,12
org.apache.hadoop.mapred.MapTask,5
org.apache.hadoop.mapred.JobClient,5
org.apache.hadoop.mapred.Master,5
org.apache.hadoop.mapred.BasicTypeSorterBase,12
org.apache.hadoop.mapred.QueueAclsInfo,0
org.apache.hadoop.mapred.JobInfo,2
org.apache.hadoop.mapred.TIPStatus,2
org.apache.hadoop.mapred.TaskStatus,2
org.apache.hadoop.mapred.TextOutputFormat,1
org.apache.hadoop.mapred.SpillRecord,13
org.apache.hadoop.mapred.Queue,2
org.apache.hadoop.mapred.MapReduceBase,2
org.apache.hadoop.mapred.SortedRanges,12
org.apache.hadoop.mapred.FileInputFormat,5
org.apache.hadoop.mapred.MergeSorter,12
org.apache.hadoop.mapred.MapFileOutputFormat,9
org.apache.hadoop.mapred.IFileOutputStream,11
org.apache.hadoop.mapreduce.jobhistory.TaskFinishedEvent,8
org.apache.hadoop.mapreduce.jobhistory.JobHistoryParser,8
org.apache.hadoop.mapreduce.jobhistory.TaskFailedEvent,8
org.apache.hadoop.mapreduce.jobhistory.HistoryEventHandler,8
org.apache.hadoop.mapreduce.jobhistory.EventWriter,8
org.apache.hadoop.mapreduce.jobhistory.AvroArrayUtils,0
org.apache.hadoop.mapreduce.jobhistory.TaskStartedEvent,8
org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent,8
