Class,Cluster
org.apache.hadoop.mapreduce.ContextFactory,5
org.apache.hadoop.mapreduce.TaskCounter,2
org.apache.hadoop.mapreduce.OutputCommitter,5
org.apache.hadoop.mapreduce.TaskReport,1
org.apache.hadoop.mapreduce.RecordReader,6
org.apache.hadoop.mapreduce.Counters,2
org.apache.hadoop.mapreduce.ID,1
org.apache.hadoop.mapreduce.SharedCacheConfig,8
org.apache.hadoop.mapreduce.JobSubmissionFiles,0
org.apache.hadoop.mapreduce.TaskInputOutputContext,3
org.apache.hadoop.mapreduce.MRJobConfig,8
org.apache.hadoop.mapreduce.JobSubmitter,8
org.apache.hadoop.mapreduce.ClusterMetrics,8
org.apache.hadoop.mapreduce.MapContext,3
org.apache.hadoop.mapreduce.MarkableIterator,3
org.apache.hadoop.mapreduce.TaskCompletionEvent,1
org.apache.hadoop.mapreduce.JobStatus,8
org.apache.hadoop.mapreduce.FileSystemCounter,5
org.apache.hadoop.mapreduce.MarkableIteratorInterface,3
org.apache.hadoop.mapreduce.OutputFormat,5
org.apache.hadoop.mapreduce.QueueInfo,8
org.apache.hadoop.mapreduce.Mapper,3
org.apache.hadoop.mapreduce.RecordWriter,5
org.apache.hadoop.mapreduce.TaskType,5
org.apache.hadoop.mapreduce.JobPriority,8
org.apache.hadoop.mapreduce.JobContext,5
org.apache.hadoop.mapreduce.JobResourceUploader,8
org.apache.hadoop.mapreduce.CryptoUtils,11
org.apache.hadoop.mapreduce.TaskTrackerInfo,1
org.apache.hadoop.mapreduce.TaskAttemptID,1
org.apache.hadoop.mapreduce.JobID,1
org.apache.hadoop.mapreduce.TaskAttemptContext,1
org.apache.hadoop.mapreduce.QueueState,8
org.apache.hadoop.mapreduce.Cluster,8
org.apache.hadoop.mapreduce.InputSplit,6
org.apache.hadoop.mapreduce.StatusReporter,5
org.apache.hadoop.mapreduce.MRConfig,8
org.apache.hadoop.mapreduce.Counter,2
org.apache.hadoop.mapreduce.InputFormat,5
org.apache.hadoop.mapreduce.Job,8
org.apache.hadoop.mapreduce.Partitioner,6
org.apache.hadoop.mapreduce.ReduceContext,3
org.apache.hadoop.mapreduce.JobACL,8
org.apache.hadoop.mapreduce.CounterGroup,5
org.apache.hadoop.mapreduce.TaskID,1
org.apache.hadoop.mapreduce.Reducer,3
org.apache.hadoop.mapreduce.JobCounter,2
org.apache.hadoop.mapreduce.QueueAclsInfo,8
org.apache.hadoop.mapreduce.CustomJobEndNotifier,4
org.apache.hadoop.filecache.package-info,5
org.apache.hadoop.filecache.DistributedCache,8
org.apache.hadoop.mapred.IFileInputStream,3
org.apache.hadoop.mapred.InvalidFileTypeException,5
org.apache.hadoop.mapred.OutputCommitter,5
org.apache.hadoop.mapred.RamManager,5
org.apache.hadoop.mapred.TaskReport,1
org.apache.hadoop.mapred.RecordReader,6
org.apache.hadoop.mapred.Counters,2
org.apache.hadoop.mapred.ID,1
org.apache.hadoop.mapred.SequenceFileInputFormat,6
org.apache.hadoop.mapred.JvmContext,1
org.apache.hadoop.mapred.FileOutputFormat,5
org.apache.hadoop.mapred.KeyValueLineRecordReader,6
org.apache.hadoop.mapred.AMFeedback,1
org.apache.hadoop.mapred.MapOutputCollector,3
org.apache.hadoop.mapred.SequenceFileOutputFormat,5
org.apache.hadoop.mapred.TaskCompletionEvent,1
org.apache.hadoop.mapred.JobStatus,8
org.apache.hadoop.mapred.MapRunner,3
org.apache.hadoop.mapred.MapTaskStatus,1
org.apache.hadoop.mapred.JobACLsManager,8
org.apache.hadoop.mapred.IFile,3
org.apache.hadoop.mapred.ProgressSplitsBlock,2
org.apache.hadoop.mapred.JobInProgress,5
org.apache.hadoop.mapred.QueueConfigurationParser,8
org.apache.hadoop.mapred.FileSplit,6
org.apache.hadoop.mapred.StatisticsCollector,2
org.apache.hadoop.mapred.SequenceFileAsTextRecordReader,6
org.apache.hadoop.mapred.OutputFormat,5
org.apache.hadoop.mapred.IndexCache,8
org.apache.hadoop.mapred.SequenceFileAsTextInputFormat,6
org.apache.hadoop.mapred.MapRunnable,3
org.apache.hadoop.mapred.JobEndNotifier,4
org.apache.hadoop.mapred.JobConfigurable,5
org.apache.hadoop.mapred.Mapper,3
org.apache.hadoop.mapred.RecordWriter,5
org.apache.hadoop.mapred.InputSplitWithLocationInfo,5
org.apache.hadoop.mapred.JvmTask,1
org.apache.hadoop.mapred.Reporter,1
org.apache.hadoop.mapred.MapTaskCompletionEventsUpdate,1
org.apache.hadoop.mapred.LocatedFileStatusFetcher,3
org.apache.hadoop.mapred.BackupStore,3
org.apache.hadoop.mapred.FixedLengthRecordReader,6
org.apache.hadoop.mapred.JobPriority,8
org.apache.hadoop.mapred.JobContext,5
org.apache.hadoop.mapred.MultiFileSplit,6
org.apache.hadoop.mapred.TextInputFormat,6
org.apache.hadoop.mapred.QueueRefresher,4
org.apache.hadoop.mapred.BufferSorter,3
org.apache.hadoop.mapred.SequenceFileRecordReader,6
org.apache.hadoop.mapred.CleanupQueue,0
org.apache.hadoop.mapred.MultiFileInputFormat,6
org.apache.hadoop.mapred.TaskAttemptID,1
org.apache.hadoop.mapred.CumulativePeriodicStats,2
org.apache.hadoop.mapred.KeyValueTextInputFormat,6
org.apache.hadoop.mapred.DeprecatedQueueConfigurationParser,8
org.apache.hadoop.mapred.SequenceFileAsBinaryInputFormat,6
org.apache.hadoop.mapred.LineRecordReader,3
org.apache.hadoop.mapred.SequenceFileAsBinaryOutputFormat,5
org.apache.hadoop.mapred.FileOutputCommitter,5
org.apache.hadoop.mapred.SkipBadRecords,6
org.apache.hadoop.mapred.RunningJob,8
org.apache.hadoop.mapred.SplitLocationInfo,5
org.apache.hadoop.mapred.MROutputFiles,0
org.apache.hadoop.mapred.JobID,1
org.apache.hadoop.mapred.IndexRecord,5
org.apache.hadoop.mapred.TaskAttemptContext,5
org.apache.hadoop.mapred.MRConstants,8
org.apache.hadoop.mapred.TaskAttemptContextImpl,1
org.apache.hadoop.mapred.Clock,5
org.apache.hadoop.mapred.ShuffleConsumerPlugin,6
org.apache.hadoop.mapred.JobProfile,1
org.apache.hadoop.mapred.InputSplit,6
org.apache.hadoop.mapred.InvalidInputException,5
org.apache.hadoop.mapred.Merger,3
org.apache.hadoop.mapred.InvalidJobConfException,5
org.apache.hadoop.mapred.PeriodicStatsAccumulator,2
org.apache.hadoop.mapred.Utils,0
org.apache.hadoop.mapred.FileAlreadyExistsException,5
org.apache.hadoop.mapred.JobContextImpl,8
org.apache.hadoop.mapred.OutputCollector,3
org.apache.hadoop.mapred.TaskLog,3
org.apache.hadoop.mapred.JVMId,1
org.apache.hadoop.mapred.JobQueueClient,8
org.apache.hadoop.mapred.JobTracker,5
org.apache.hadoop.mapred.ReduceTaskStatus,1
org.apache.hadoop.mapred.ClusterStatus,8
org.apache.hadoop.mapred.Task,3
org.apache.hadoop.mapred.FixedLengthInputFormat,6
org.apache.hadoop.mapred.SequenceFileInputFilter,5
org.apache.hadoop.mapred.MapOutputFile,0
org.apache.hadoop.mapred.InputFormat,5
org.apache.hadoop.mapred.JobQueueInfo,8
org.apache.hadoop.mapred.ReduceTask,3
org.apache.hadoop.mapred.TaskUmbilicalProtocol,3
org.apache.hadoop.mapred.Partitioner,6
org.apache.hadoop.mapred.Operation,8
org.apache.hadoop.mapred.JobConf,3
org.apache.hadoop.mapred.OutputLogFilter,0
org.apache.hadoop.mapred.QueueACL,8
org.apache.hadoop.mapred.RawKeyValueIterator,3
org.apache.hadoop.mapred.StatePeriodicStats,2
org.apache.hadoop.mapred.QueueManager,8
org.apache.hadoop.mapred.TaskID,1
org.apache.hadoop.mapred.Reducer,3
org.apache.hadoop.mapred.MapTask,3
org.apache.hadoop.mapred.JobClient,8
org.apache.hadoop.mapred.Master,8
org.apache.hadoop.mapred.BasicTypeSorterBase,3
org.apache.hadoop.mapred.QueueAclsInfo,8
org.apache.hadoop.mapred.JobInfo,1
org.apache.hadoop.mapred.TIPStatus,5
org.apache.hadoop.mapred.TaskStatus,8
org.apache.hadoop.mapred.TextOutputFormat,5
org.apache.hadoop.mapred.SpillRecord,6
org.apache.hadoop.mapred.Queue,8
org.apache.hadoop.mapred.MapReduceBase,3
org.apache.hadoop.mapred.SortedRanges,3
org.apache.hadoop.mapred.FileInputFormat,3
org.apache.hadoop.mapred.MergeSorter,3
org.apache.hadoop.mapred.MapFileOutputFormat,5
org.apache.hadoop.mapred.IFileOutputStream,3
org.apache.hadoop.mapreduce.jobhistory.TaskFinishedEvent,1
org.apache.hadoop.mapreduce.jobhistory.JobHistoryParser,1
org.apache.hadoop.mapreduce.jobhistory.TaskFailedEvent,1
org.apache.hadoop.mapreduce.jobhistory.HistoryEventHandler,5
org.apache.hadoop.mapreduce.jobhistory.EventWriter,1
org.apache.hadoop.mapreduce.jobhistory.AvroArrayUtils,5
org.apache.hadoop.mapreduce.jobhistory.TaskStartedEvent,1
org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent,1
org.apache.hadoop.mapreduce.jobhistory.HumanReadableHistoryViewerPrinter,1
org.apache.hadoop.mapreduce.jobhistory.package-info,5
org.apache.hadoop.mapreduce.jobhistory.HistoryEvent,1
org.apache.hadoop.mapreduce.jobhistory.TaskAttemptStartedEvent,1
org.apache.hadoop.mapreduce.jobhistory.TaskAttemptFinishedEvent,1
org.apache.hadoop.mapreduce.jobhistory.EventReader,1
org.apache.hadoop.mapreduce.jobhistory.JobInitedEvent,1
org.apache.hadoop.mapreduce.jobhistory.JobPriorityChangeEvent,1
org.apache.hadoop.mapreduce.jobhistory.TaskUpdatedEvent,1
org.apache.hadoop.mapreduce.jobhistory.JobSubmittedEvent,1
org.apache.hadoop.mapreduce.jobhistory.NormalizedResourceEvent,1
org.apache.hadoop.mapreduce.jobhistory.JobInfoChangeEvent,1
org.apache.hadoop.mapreduce.jobhistory.JobFinishedEvent,1
org.apache.hadoop.mapreduce.jobhistory.JobUnsuccessfulCompletionEvent,1
org.apache.hadoop.mapreduce.jobhistory.MapAttemptFinishedEvent,1
org.apache.hadoop.mapreduce.jobhistory.HistoryViewerPrinter,1
org.apache.hadoop.mapreduce.jobhistory.JSONHistoryViewerPrinter,1
org.apache.hadoop.mapreduce.jobhistory.JobQueueChangeEvent,1
org.apache.hadoop.mapreduce.jobhistory.JobStatusChangedEvent,1
org.apache.hadoop.mapreduce.jobhistory.AMStartedEvent,1
org.apache.hadoop.mapreduce.jobhistory.ReduceAttemptFinishedEvent,1
org.apache.hadoop.mapreduce.jobhistory.HistoryViewer,1
org.apache.hadoop.mapreduce.split.JobSplit,6
org.apache.hadoop.mapreduce.split.JobSplitWriter,6
org.apache.hadoop.mapreduce.split.package-info,5
org.apache.hadoop.mapreduce.split.SplitMetaInfoReader,6
org.apache.hadoop.mapreduce.task.MapContextImpl,5
org.apache.hadoop.mapreduce.task.ReduceContextImpl,5
org.apache.hadoop.mapreduce.task.package-info,5
org.apache.hadoop.mapreduce.task.TaskInputOutputContextImpl,5
org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl,1
org.apache.hadoop.mapreduce.task.JobContextImpl,5
org.apache.hadoop.mapreduce.security.TokenCache,11
org.apache.hadoop.mapreduce.security.SecureShuffleUtils,11
org.apache.hadoop.mapreduce.security.package-info,5
org.apache.hadoop.mapreduce.security.SpillCallBackPathsFinder,0
org.apache.hadoop.mapreduce.security.SpillCallBackInjector,0
org.apache.hadoop.mapreduce.security.IntermediateEncryptedStream,0
org.apache.hadoop.mapreduce.protocol.ClientProtocolProvider,5
org.apache.hadoop.mapreduce.protocol.ClientProtocol,8
org.apache.hadoop.mapreduce.protocol.package-info,5
org.apache.hadoop.mapreduce.counters.CounterGroupBase,2
org.apache.hadoop.mapreduce.counters.AbstractCounterGroup,2
org.apache.hadoop.mapreduce.counters.FrameworkCounterGroup,2
org.apache.hadoop.mapreduce.counters.Limits,2
org.apache.hadoop.mapreduce.counters.package-info,5
org.apache.hadoop.mapreduce.counters.CounterGroupFactory,2
org.apache.hadoop.mapreduce.counters.FileSystemCounterGroup,2
org.apache.hadoop.mapreduce.counters.GenericCounter,2
org.apache.hadoop.mapreduce.counters.LimitExceededException,5
org.apache.hadoop.mapreduce.counters.AbstractCounter,2
org.apache.hadoop.mapreduce.counters.AbstractCounters,2
org.apache.hadoop.mapreduce.v2.LogParams,1
org.apache.hadoop.mapreduce.util.CountersStrings,2
org.apache.hadoop.mapreduce.util.ProcessTree,0
org.apache.hadoop.mapreduce.util.HostUtil,1
org.apache.hadoop.mapreduce.util.ResourceBundles,7
org.apache.hadoop.mapreduce.util.package-info,5
org.apache.hadoop.mapreduce.util.ConfigUtil,8
org.apache.hadoop.mapreduce.util.JobHistoryEventUtils,1
org.apache.hadoop.mapreduce.util.MRJobConfUtil,8
org.apache.hadoop.mapreduce.checkpoint.FSCheckpointID,0
org.apache.hadoop.mapreduce.checkpoint.TaskCheckpointID,0
org.apache.hadoop.mapreduce.checkpoint.EnumCounter,5
org.apache.hadoop.mapreduce.checkpoint.FSCheckpointService,0
org.apache.hadoop.mapreduce.checkpoint.CheckpointService,0
org.apache.hadoop.mapreduce.checkpoint.RandomNameCNS,5
org.apache.hadoop.mapreduce.checkpoint.CheckpointNamingService,5
org.apache.hadoop.mapreduce.checkpoint.CheckpointID,5
org.apache.hadoop.mapreduce.checkpoint.SimpleNamingService,5
org.apache.hadoop.mapreduce.filecache.ClientDistributedCacheManager,8
org.apache.hadoop.mapreduce.filecache.package-info,5
org.apache.hadoop.mapreduce.filecache.DistributedCache,8
org.apache.hadoop.mapreduce.tools.CLI,8
org.apache.hadoop.mapreduce.task.annotation.Checkpointable,5
org.apache.hadoop.mapreduce.task.reduce.ShuffleHeader,6
org.apache.hadoop.mapreduce.task.reduce.EventFetcher,3
org.apache.hadoop.mapreduce.task.reduce.LocalFetcher,6
org.apache.hadoop.mapreduce.task.reduce.MergeManagerImpl,6
org.apache.hadoop.mapreduce.task.reduce.ShuffleScheduler,6
org.apache.hadoop.mapreduce.task.reduce.MapHost,3
org.apache.hadoop.mapreduce.task.reduce.IFileWrappedMapOutput,6
org.apache.hadoop.mapreduce.task.reduce.Fetcher,6
org.apache.hadoop.mapreduce.task.reduce.InMemoryMapOutput,6
org.apache.hadoop.mapreduce.task.reduce.InMemoryWriter,6
org.apache.hadoop.mapreduce.task.reduce.ShuffleSchedulerImpl,6
org.apache.hadoop.mapreduce.task.reduce.ShuffleClientMetrics,3
org.apache.hadoop.mapreduce.task.reduce.OnDiskMapOutput,6
org.apache.hadoop.mapreduce.task.reduce.package-info,5
org.apache.hadoop.mapreduce.task.reduce.MapOutput,6
org.apache.hadoop.mapreduce.task.reduce.ExceptionReporter,5
org.apache.hadoop.mapreduce.task.reduce.InMemoryReader,6
org.apache.hadoop.mapreduce.task.reduce.MergeManager,3
org.apache.hadoop.mapreduce.task.reduce.Shuffle,6
org.apache.hadoop.mapreduce.task.reduce.MergeThread,3
org.apache.hadoop.mapreduce.server.tasktracker.TTConfig,8
org.apache.hadoop.mapreduce.server.jobtracker.JTConfig,8
