Class,Cluster
org.apache.hadoop.mapreduce.ContextFactory,6
org.apache.hadoop.mapreduce.TaskCounter,2
org.apache.hadoop.mapreduce.OutputCommitter,6
org.apache.hadoop.mapreduce.TaskReport,0
org.apache.hadoop.mapreduce.RecordReader,1
org.apache.hadoop.mapreduce.Counters,2
org.apache.hadoop.mapreduce.ID,0
org.apache.hadoop.mapreduce.SharedCacheConfig,0
org.apache.hadoop.mapreduce.JobSubmissionFiles,3
org.apache.hadoop.mapreduce.TaskInputOutputContext,6
org.apache.hadoop.mapreduce.MRJobConfig,0
org.apache.hadoop.mapreduce.JobSubmitter,0
org.apache.hadoop.mapreduce.ClusterMetrics,0
org.apache.hadoop.mapreduce.MapContext,6
org.apache.hadoop.mapreduce.MarkableIterator,6
org.apache.hadoop.mapreduce.TaskCompletionEvent,0
org.apache.hadoop.mapreduce.JobStatus,0
org.apache.hadoop.mapreduce.FileSystemCounter,6
org.apache.hadoop.mapreduce.MarkableIteratorInterface,6
org.apache.hadoop.mapreduce.OutputFormat,6
org.apache.hadoop.mapreduce.QueueInfo,0
org.apache.hadoop.mapreduce.Mapper,6
org.apache.hadoop.mapreduce.RecordWriter,6
org.apache.hadoop.mapreduce.TaskType,6
org.apache.hadoop.mapreduce.JobPriority,0
org.apache.hadoop.mapreduce.JobContext,6
org.apache.hadoop.mapreduce.JobResourceUploader,0
org.apache.hadoop.mapreduce.CryptoUtils,5
org.apache.hadoop.mapreduce.TaskTrackerInfo,0
org.apache.hadoop.mapreduce.TaskAttemptID,0
org.apache.hadoop.mapreduce.JobID,0
org.apache.hadoop.mapreduce.TaskAttemptContext,0
org.apache.hadoop.mapreduce.QueueState,0
org.apache.hadoop.mapreduce.Cluster,0
org.apache.hadoop.mapreduce.InputSplit,1
org.apache.hadoop.mapreduce.StatusReporter,6
org.apache.hadoop.mapreduce.MRConfig,0
org.apache.hadoop.mapreduce.Counter,2
org.apache.hadoop.mapreduce.InputFormat,6
org.apache.hadoop.mapreduce.Job,0
org.apache.hadoop.mapreduce.Partitioner,1
org.apache.hadoop.mapreduce.ReduceContext,6
org.apache.hadoop.mapreduce.JobACL,0
org.apache.hadoop.mapreduce.CounterGroup,6
org.apache.hadoop.mapreduce.TaskID,0
org.apache.hadoop.mapreduce.Reducer,6
org.apache.hadoop.mapreduce.JobCounter,2
org.apache.hadoop.mapreduce.QueueAclsInfo,0
org.apache.hadoop.mapreduce.CustomJobEndNotifier,4
org.apache.hadoop.filecache.package-info,6
org.apache.hadoop.filecache.DistributedCache,0
org.apache.hadoop.mapred.IFileInputStream,6
org.apache.hadoop.mapred.InvalidFileTypeException,6
org.apache.hadoop.mapred.OutputCommitter,6
org.apache.hadoop.mapred.RamManager,6
org.apache.hadoop.mapred.TaskReport,0
org.apache.hadoop.mapred.RecordReader,1
org.apache.hadoop.mapred.Counters,2
org.apache.hadoop.mapred.ID,0
org.apache.hadoop.mapred.SequenceFileInputFormat,1
org.apache.hadoop.mapred.JvmContext,0
org.apache.hadoop.mapred.FileOutputFormat,6
org.apache.hadoop.mapred.KeyValueLineRecordReader,1
org.apache.hadoop.mapred.AMFeedback,0
org.apache.hadoop.mapred.MapOutputCollector,6
org.apache.hadoop.mapred.SequenceFileOutputFormat,6
org.apache.hadoop.mapred.TaskCompletionEvent,0
org.apache.hadoop.mapred.JobStatus,0
org.apache.hadoop.mapred.MapRunner,6
org.apache.hadoop.mapred.MapTaskStatus,0
org.apache.hadoop.mapred.JobACLsManager,0
org.apache.hadoop.mapred.IFile,6
org.apache.hadoop.mapred.ProgressSplitsBlock,2
org.apache.hadoop.mapred.JobInProgress,6
org.apache.hadoop.mapred.QueueConfigurationParser,0
org.apache.hadoop.mapred.FileSplit,1
org.apache.hadoop.mapred.StatisticsCollector,2
org.apache.hadoop.mapred.SequenceFileAsTextRecordReader,1
org.apache.hadoop.mapred.OutputFormat,6
org.apache.hadoop.mapred.IndexCache,0
org.apache.hadoop.mapred.SequenceFileAsTextInputFormat,1
org.apache.hadoop.mapred.MapRunnable,6
org.apache.hadoop.mapred.JobEndNotifier,4
org.apache.hadoop.mapred.JobConfigurable,6
org.apache.hadoop.mapred.Mapper,6
org.apache.hadoop.mapred.RecordWriter,6
org.apache.hadoop.mapred.InputSplitWithLocationInfo,6
org.apache.hadoop.mapred.JvmTask,0
org.apache.hadoop.mapred.Reporter,0
org.apache.hadoop.mapred.MapTaskCompletionEventsUpdate,0
org.apache.hadoop.mapred.LocatedFileStatusFetcher,6
org.apache.hadoop.mapred.BackupStore,6
org.apache.hadoop.mapred.FixedLengthRecordReader,1
org.apache.hadoop.mapred.JobPriority,0
org.apache.hadoop.mapred.JobContext,6
org.apache.hadoop.mapred.MultiFileSplit,1
org.apache.hadoop.mapred.TextInputFormat,1
org.apache.hadoop.mapred.QueueRefresher,4
org.apache.hadoop.mapred.BufferSorter,6
org.apache.hadoop.mapred.SequenceFileRecordReader,1
org.apache.hadoop.mapred.CleanupQueue,3
org.apache.hadoop.mapred.MultiFileInputFormat,1
org.apache.hadoop.mapred.TaskAttemptID,0
org.apache.hadoop.mapred.CumulativePeriodicStats,2
org.apache.hadoop.mapred.KeyValueTextInputFormat,1
org.apache.hadoop.mapred.DeprecatedQueueConfigurationParser,0
org.apache.hadoop.mapred.SequenceFileAsBinaryInputFormat,1
org.apache.hadoop.mapred.LineRecordReader,6
org.apache.hadoop.mapred.SequenceFileAsBinaryOutputFormat,6
org.apache.hadoop.mapred.FileOutputCommitter,6
org.apache.hadoop.mapred.SkipBadRecords,1
org.apache.hadoop.mapred.RunningJob,0
org.apache.hadoop.mapred.SplitLocationInfo,6
org.apache.hadoop.mapred.MROutputFiles,3
org.apache.hadoop.mapred.JobID,0
org.apache.hadoop.mapred.IndexRecord,6
org.apache.hadoop.mapred.TaskAttemptContext,6
org.apache.hadoop.mapred.MRConstants,0
org.apache.hadoop.mapred.TaskAttemptContextImpl,0
org.apache.hadoop.mapred.Clock,6
org.apache.hadoop.mapred.ShuffleConsumerPlugin,1
org.apache.hadoop.mapred.JobProfile,0
org.apache.hadoop.mapred.InputSplit,1
org.apache.hadoop.mapred.InvalidInputException,6
org.apache.hadoop.mapred.Merger,6
org.apache.hadoop.mapred.InvalidJobConfException,6
org.apache.hadoop.mapred.PeriodicStatsAccumulator,2
org.apache.hadoop.mapred.Utils,3
org.apache.hadoop.mapred.FileAlreadyExistsException,6
org.apache.hadoop.mapred.JobContextImpl,0
org.apache.hadoop.mapred.OutputCollector,6
org.apache.hadoop.mapred.TaskLog,6
org.apache.hadoop.mapred.JVMId,0
org.apache.hadoop.mapred.JobQueueClient,0
org.apache.hadoop.mapred.JobTracker,6
org.apache.hadoop.mapred.ReduceTaskStatus,0
org.apache.hadoop.mapred.ClusterStatus,0
org.apache.hadoop.mapred.Task,6
org.apache.hadoop.mapred.FixedLengthInputFormat,1
org.apache.hadoop.mapred.SequenceFileInputFilter,6
