Class,Cluster
org.apache.hadoop.mapreduce.ContextFactory,0
org.apache.hadoop.mapreduce.TaskCounter,2
org.apache.hadoop.mapreduce.OutputCommitter,6
org.apache.hadoop.mapreduce.TaskReport,0
org.apache.hadoop.mapreduce.RecordReader,3
org.apache.hadoop.mapreduce.Counters,2
org.apache.hadoop.mapreduce.ID,1
org.apache.hadoop.mapreduce.SharedCacheConfig,1
org.apache.hadoop.mapreduce.JobSubmissionFiles,0
org.apache.hadoop.mapreduce.TaskInputOutputContext,6
org.apache.hadoop.mapreduce.MRJobConfig,1
org.apache.hadoop.mapreduce.JobSubmitter,0
org.apache.hadoop.mapreduce.ClusterMetrics,1
org.apache.hadoop.mapreduce.MapContext,3
org.apache.hadoop.mapreduce.MarkableIterator,6
org.apache.hadoop.mapreduce.TaskCompletionEvent,0
org.apache.hadoop.mapreduce.JobStatus,1
org.apache.hadoop.mapreduce.FileSystemCounter,6
org.apache.hadoop.mapreduce.MarkableIteratorInterface,6
org.apache.hadoop.mapreduce.OutputFormat,6
org.apache.hadoop.mapreduce.QueueInfo,1
org.apache.hadoop.mapreduce.Mapper,3
org.apache.hadoop.mapreduce.RecordWriter,6
org.apache.hadoop.mapreduce.TaskType,6
org.apache.hadoop.mapreduce.JobPriority,1
org.apache.hadoop.mapreduce.JobContext,0
org.apache.hadoop.mapreduce.JobResourceUploader,0
org.apache.hadoop.mapreduce.CryptoUtils,5
org.apache.hadoop.mapreduce.TaskTrackerInfo,0
org.apache.hadoop.mapreduce.TaskAttemptID,1
org.apache.hadoop.mapreduce.JobID,1
org.apache.hadoop.mapreduce.TaskAttemptContext,0
org.apache.hadoop.mapreduce.QueueState,1
org.apache.hadoop.mapreduce.Cluster,1
org.apache.hadoop.mapreduce.InputSplit,3
org.apache.hadoop.mapreduce.StatusReporter,6
org.apache.hadoop.mapreduce.MRConfig,1
org.apache.hadoop.mapreduce.Counter,2
org.apache.hadoop.mapreduce.InputFormat,3
org.apache.hadoop.mapreduce.Job,0
org.apache.hadoop.mapreduce.Partitioner,3
org.apache.hadoop.mapreduce.ReduceContext,6
org.apache.hadoop.mapreduce.JobACL,1
org.apache.hadoop.mapreduce.CounterGroup,6
org.apache.hadoop.mapreduce.TaskID,1
org.apache.hadoop.mapreduce.Reducer,6
org.apache.hadoop.mapreduce.JobCounter,2
org.apache.hadoop.mapreduce.QueueAclsInfo,1
org.apache.hadoop.mapreduce.CustomJobEndNotifier,4
org.apache.hadoop.filecache.package-info,6
org.apache.hadoop.filecache.DistributedCache,0
org.apache.hadoop.mapred.IFileInputStream,6
org.apache.hadoop.mapred.InvalidFileTypeException,6
org.apache.hadoop.mapred.OutputCommitter,6
org.apache.hadoop.mapred.RamManager,6
org.apache.hadoop.mapred.TaskReport,0
org.apache.hadoop.mapred.RecordReader,3
org.apache.hadoop.mapred.Counters,2
org.apache.hadoop.mapred.ID,1
org.apache.hadoop.mapred.SequenceFileInputFormat,3
org.apache.hadoop.mapred.JvmContext,1
org.apache.hadoop.mapred.FileOutputFormat,6
org.apache.hadoop.mapred.KeyValueLineRecordReader,3
org.apache.hadoop.mapred.AMFeedback,0
org.apache.hadoop.mapred.MapOutputCollector,6
org.apache.hadoop.mapred.SequenceFileOutputFormat,6
org.apache.hadoop.mapred.TaskCompletionEvent,0
org.apache.hadoop.mapred.JobStatus,1
org.apache.hadoop.mapred.MapRunner,3
org.apache.hadoop.mapred.MapTaskStatus,0
org.apache.hadoop.mapred.JobACLsManager,1
org.apache.hadoop.mapred.IFile,0
org.apache.hadoop.mapred.ProgressSplitsBlock,2
org.apache.hadoop.mapred.JobInProgress,6
org.apache.hadoop.mapred.QueueConfigurationParser,1
org.apache.hadoop.mapred.FileSplit,3
org.apache.hadoop.mapred.StatisticsCollector,2
org.apache.hadoop.mapred.SequenceFileAsTextRecordReader,3
org.apache.hadoop.mapred.OutputFormat,6
org.apache.hadoop.mapred.IndexCache,0
org.apache.hadoop.mapred.SequenceFileAsTextInputFormat,3
org.apache.hadoop.mapred.MapRunnable,3
org.apache.hadoop.mapred.JobEndNotifier,4
org.apache.hadoop.mapred.JobConfigurable,6
org.apache.hadoop.mapred.Mapper,3
org.apache.hadoop.mapred.RecordWriter,6
org.apache.hadoop.mapred.InputSplitWithLocationInfo,6
org.apache.hadoop.mapred.JvmTask,0
org.apache.hadoop.mapred.Reporter,0
org.apache.hadoop.mapred.MapTaskCompletionEventsUpdate,0
org.apache.hadoop.mapred.LocatedFileStatusFetcher,0
org.apache.hadoop.mapred.BackupStore,0
org.apache.hadoop.mapred.FixedLengthRecordReader,3
org.apache.hadoop.mapred.JobPriority,1
org.apache.hadoop.mapred.JobContext,6
org.apache.hadoop.mapred.MultiFileSplit,3
