run_id,algorithm,measure,cluster_count,a2a_to_acdc,cvg_to_acdc,output_rsf
349,WCA_vs_LIMBO,UEM_vs_IL,50_vs_60,77.82152231,0,mapreduceclientcore-1_UEM_50_clusters.rsf | mapreduceclientcore-1_IL_60_clusters.rsf
350,WCA_vs_LIMBO,UEM_vs_IL,50_vs_75,77.31421121,0,mapreduceclientcore-1_UEM_50_clusters.rsf | mapreduceclientcore-1_IL_75_clusters.rsf
351,WCA_vs_LIMBO,UEM_vs_IL,50_vs_94,75.90517241,0.010638298,mapreduceclientcore-1_UEM_50_clusters.rsf | mapreduceclientcore-1_IL_94_clusters.rsf
352,WCA_vs_LIMBO,UEM_vs_UEMNM,50_vs_50,100,1,mapreduceclientcore-1_UEM_50_clusters.rsf | mapreduceclientcore-1_LIMBO_UEMNM_50_clusters.rsf
353,WCA_vs_LIMBO,UEM_vs_UEM,50_vs_50,100,1,mapreduceclientcore-1_UEM_50_clusters.rsf | mapreduceclientcore-1_LIMBO_UEM_50_clusters.rsf
354,WCA_vs_LIMBO,UEM_vs_IL,60_vs_100,75.85616438,0.01,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_100_clusters.rsf
355,WCA_vs_LIMBO,UEM_vs_IL,60_vs_144,75,0.076388889,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_144_clusters.rsf
356,WCA_vs_LIMBO,UEM_vs_IL,60_vs_150,74.85331098,0.12,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_150_clusters.rsf
357,WCA_vs_LIMBO,UEM_vs_IL,60_vs_194,73.33333333,0.103092784,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_194_clusters.rsf
358,WCA_vs_LIMBO,UEM_vs_IL,60_vs_20,81.87056738,0,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_20_clusters.rsf
359,WCA_vs_LIMBO,UEM_vs_IL,60_vs_244,71.81451613,0.081967213,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_244_clusters.rsf
360,WCA_vs_LIMBO,UEM_vs_IL,60_vs_25,82.13180009,0,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_25_clusters.rsf
361,WCA_vs_LIMBO,UEM_vs_IL,60_vs_294,70.39525692,0.068027211,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_294_clusters.rsf
362,WCA_vs_LIMBO,UEM_vs_IL,60_vs_30,78.77316858,0,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_30_clusters.rsf
363,WCA_vs_LIMBO,UEM_vs_IL,60_vs_344,69.03100775,0.058139535,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_344_clusters.rsf
364,WCA_vs_LIMBO,UEM_vs_IL,60_vs_394,67.71863118,0.050761421,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_394_clusters.rsf
365,WCA_vs_LIMBO,UEM_vs_IL,60_vs_40,79.30579965,0,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_40_clusters.rsf
366,WCA_vs_LIMBO,UEM_vs_IL,60_vs_444,66.45522388,0.045045045,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_444_clusters.rsf
367,WCA_vs_LIMBO,UEM_vs_IL,60_vs_494,65.16483516,0.04048583,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_494_clusters.rsf
368,WCA_vs_LIMBO,UEM_vs_IL,60_vs_50,78.30271216,0,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_50_clusters.rsf
369,WCA_vs_LIMBO,UEM_vs_IL,60_vs_55,77.65168049,0,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_55_clusters.rsf
370,WCA_vs_LIMBO,UEM_vs_IL,60_vs_60,77.91811847,0,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_60_clusters.rsf
371,WCA_vs_LIMBO,UEM_vs_IL,60_vs_75,77.41237559,0,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_75_clusters.rsf
372,WCA_vs_LIMBO,UEM_vs_IL,60_vs_94,76.22317597,0.010638298,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_IL_94_clusters.rsf
373,WCA_vs_LIMBO,UEM_vs_UEMNM,60_vs_50,99.12510936,1,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_LIMBO_UEMNM_50_clusters.rsf
374,WCA_vs_LIMBO,UEM_vs_UEM,60_vs_50,99.12510936,1,mapreduceclientcore-1_UEM_60_clusters.rsf | mapreduceclientcore-1_LIMBO_UEM_50_clusters.rsf
375,WCA_vs_LIMBO,UEM_vs_IL,75_vs_100,79.24287537,0.01,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_100_clusters.rsf
376,WCA_vs_LIMBO,UEM_vs_IL,75_vs_144,78.28810021,0.076388889,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_144_clusters.rsf
377,WCA_vs_LIMBO,UEM_vs_IL,75_vs_150,78.13411079,0.12,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_150_clusters.rsf
378,WCA_vs_LIMBO,UEM_vs_IL,75_vs_194,75.99182004,0.103092784,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_194_clusters.rsf
379,WCA_vs_LIMBO,UEM_vs_IL,75_vs_20,82.25451343,0,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_20_clusters.rsf
380,WCA_vs_LIMBO,UEM_vs_IL,75_vs_244,74.06813627,0.081967213,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_244_clusters.rsf
381,WCA_vs_LIMBO,UEM_vs_IL,75_vs_25,82.51318102,0,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_25_clusters.rsf
382,WCA_vs_LIMBO,UEM_vs_IL,75_vs_294,72.49508841,0.068027211,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_294_clusters.rsf
383,WCA_vs_LIMBO,UEM_vs_IL,75_vs_30,83.42832091,0,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_30_clusters.rsf
384,WCA_vs_LIMBO,UEM_vs_IL,75_vs_344,70.98265896,0.058139535,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_344_clusters.rsf
385,WCA_vs_LIMBO,UEM_vs_IL,75_vs_394,69.60302457,0.050761421,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_394_clusters.rsf
386,WCA_vs_LIMBO,UEM_vs_IL,75_vs_40,82.14753383,0,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_40_clusters.rsf
387,WCA_vs_LIMBO,UEM_vs_IL,75_vs_444,68.20037106,0.045045045,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_444_clusters.rsf
388,WCA_vs_LIMBO,UEM_vs_IL,75_vs_494,66.12021858,0.04048583,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_494_clusters.rsf
389,WCA_vs_LIMBO,UEM_vs_IL,75_vs_50,81.87744459,0,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_50_clusters.rsf
390,WCA_vs_LIMBO,UEM_vs_IL,75_vs_55,81.613183,0,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_55_clusters.rsf
391,WCA_vs_LIMBO,UEM_vs_IL,75_vs_60,81.86932064,0,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_60_clusters.rsf
392,WCA_vs_LIMBO,UEM_vs_IL,75_vs_75,81.47033534,0,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_75_clusters.rsf
393,WCA_vs_LIMBO,UEM_vs_IL,75_vs_94,80.08528785,0.010638298,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_IL_94_clusters.rsf
394,WCA_vs_LIMBO,UEM_vs_UEMNM,75_vs_50,80.48674489,0.98,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_LIMBO_UEMNM_50_clusters.rsf
395,WCA_vs_LIMBO,UEM_vs_UEM,75_vs_50,80.48674489,0.98,mapreduceclientcore-1_WCA_UEM_75_clusters.rsf | mapreduceclientcore-1_LIMBO_UEM_50_clusters.rsf
