algorithm,measure,serial_threshold,stop_threshold,filename,rsf_path,cluster_count,total_entities,largest_cluster_size,largest_cluster_pct,smallest_cluster_size,average_cluster_size,singleton_count
WCA,UEMNM,90,25,mapreduceclientcore_algo-wca_measure-uemnm_serial-90_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-90_stop-25.rsf,90,544,44,8.09,1,6.04,66
WCA,UEMNM,100,25,mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-100_stop-25.rsf,100,544,30,5.51,1,5.44,66
WCA,UEMNM,110,25,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-25.rsf,110,544,24,4.41,1,4.95,66
WCA,UEMNM,120,25,mapreduceclientcore_algo-wca_measure-uemnm_serial-120_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-120_stop-25.rsf,120,544,24,4.41,1,4.53,66
WCA,UEMNM,130,25,mapreduceclientcore_algo-wca_measure-uemnm_serial-130_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-130_stop-25.rsf,130,544,20,3.68,1,4.18,69
WCA,UEMNM,140,25,mapreduceclientcore_algo-wca_measure-uemnm_serial-140_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-140_stop-25.rsf,140,544,20,3.68,1,3.89,75
WCA,UEMNM,150,25,mapreduceclientcore_algo-wca_measure-uemnm_serial-150_stop-25.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-150_stop-25.rsf,150,544,20,3.68,1,3.63,84
WCA,UEMNM,50,50,mapreduceclientcore_algo-wca_measure-uemnm_serial-50_stop-50.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-50_stop-50.rsf,50,544,495,90.99,1,10.88,49
WCA,UEMNM,75,50,mapreduceclientcore_algo-wca_measure-uemnm_serial-75_stop-50.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-75_stop-50.rsf,75,544,86,15.81,1,7.25,66
WCA,UEMNM,80,50,mapreduceclientcore_algo-wca_measure-uemnm_serial-80_stop-50.rsf,D:\Paderborn University\DSSEgit\group8_hadoop_mapReduce\final_p&c\WCA\mapreduceclientcore_algo-wca_measure-uemnm_serial-80_stop-50.rsf,80,544,86,15.81,1,6.8,66
