Class,Cluster
org.apache.hadoop.mapreduce.ContextFactory,12
org.apache.hadoop.mapreduce.TaskCounter,3
org.apache.hadoop.mapreduce.OutputCommitter,1
org.apache.hadoop.mapreduce.TaskReport,0
org.apache.hadoop.mapreduce.RecordReader,8
org.apache.hadoop.mapreduce.Counters,3
org.apache.hadoop.mapreduce.ID,14
org.apache.hadoop.mapreduce.SharedCacheConfig,12
org.apache.hadoop.mapreduce.JobSubmissionFiles,12
org.apache.hadoop.mapreduce.TaskInputOutputContext,6
org.apache.hadoop.mapreduce.MRJobConfig,12
org.apache.hadoop.mapreduce.JobSubmitter,12
org.apache.hadoop.mapreduce.ClusterMetrics,12
org.apache.hadoop.mapreduce.MapContext,6
org.apache.hadoop.mapreduce.MarkableIterator,2
org.apache.hadoop.mapreduce.TaskCompletionEvent,0
org.apache.hadoop.mapreduce.JobStatus,5
org.apache.hadoop.mapreduce.FileSystemCounter,5
org.apache.hadoop.mapreduce.MarkableIteratorInterface,2
org.apache.hadoop.mapreduce.OutputFormat,1
org.apache.hadoop.mapreduce.QueueInfo,5
org.apache.hadoop.mapreduce.Mapper,8
org.apache.hadoop.mapreduce.RecordWriter,1
org.apache.hadoop.mapreduce.TaskType,5
org.apache.hadoop.mapreduce.JobPriority,5
org.apache.hadoop.mapreduce.JobContext,12
org.apache.hadoop.mapreduce.JobResourceUploader,12
org.apache.hadoop.mapreduce.CryptoUtils,13
org.apache.hadoop.mapreduce.TaskTrackerInfo,0
org.apache.hadoop.mapreduce.TaskAttemptID,14
org.apache.hadoop.mapreduce.JobID,14
org.apache.hadoop.mapreduce.TaskAttemptContext,0
org.apache.hadoop.mapreduce.QueueState,5
org.apache.hadoop.mapreduce.Cluster,12
org.apache.hadoop.mapreduce.InputSplit,8
org.apache.hadoop.mapreduce.StatusReporter,5
org.apache.hadoop.mapreduce.MRConfig,12
org.apache.hadoop.mapreduce.Counter,3
org.apache.hadoop.mapreduce.InputFormat,8
org.apache.hadoop.mapreduce.Job,12
org.apache.hadoop.mapreduce.Partitioner,8
org.apache.hadoop.mapreduce.ReduceContext,6
org.apache.hadoop.mapreduce.JobACL,5
org.apache.hadoop.mapreduce.CounterGroup,5
org.apache.hadoop.mapreduce.TaskID,14
org.apache.hadoop.mapreduce.Reducer,6
org.apache.hadoop.mapreduce.JobCounter,3
org.apache.hadoop.mapreduce.QueueAclsInfo,5
org.apache.hadoop.mapreduce.CustomJobEndNotifier,7
org.apache.hadoop.filecache.package-info,5
org.apache.hadoop.filecache.DistributedCache,12
org.apache.hadoop.mapred.IFileInputStream,1
org.apache.hadoop.mapred.InvalidFileTypeException,5
org.apache.hadoop.mapred.OutputCommitter,1
org.apache.hadoop.mapred.RamManager,5
org.apache.hadoop.mapred.TaskReport,0
org.apache.hadoop.mapred.RecordReader,8
org.apache.hadoop.mapred.Counters,3
org.apache.hadoop.mapred.ID,14
org.apache.hadoop.mapred.SequenceFileInputFormat,8
org.apache.hadoop.mapred.JvmContext,14
org.apache.hadoop.mapred.FileOutputFormat,1
org.apache.hadoop.mapred.KeyValueLineRecordReader,8
org.apache.hadoop.mapred.AMFeedback,0
org.apache.hadoop.mapred.MapOutputCollector,1
org.apache.hadoop.mapred.SequenceFileOutputFormat,1
org.apache.hadoop.mapred.TaskCompletionEvent,0
org.apache.hadoop.mapred.JobStatus,5
