Class,Cluster
org.apache.hadoop.mapreduce.ContextFactory,4
org.apache.hadoop.mapreduce.TaskCounter,1
org.apache.hadoop.mapreduce.OutputCommitter,7
org.apache.hadoop.mapreduce.TaskReport,0
org.apache.hadoop.mapreduce.RecordReader,3
org.apache.hadoop.mapreduce.Counters,0
org.apache.hadoop.mapreduce.ID,1
org.apache.hadoop.mapreduce.SharedCacheConfig,2
org.apache.hadoop.mapreduce.JobSubmissionFiles,1
org.apache.hadoop.mapreduce.TaskInputOutputContext,7
org.apache.hadoop.mapreduce.MRJobConfig,1
org.apache.hadoop.mapreduce.JobSubmitter,10
org.apache.hadoop.mapreduce.ClusterMetrics,7
org.apache.hadoop.mapreduce.MapContext,7
org.apache.hadoop.mapreduce.MarkableIterator,0
org.apache.hadoop.mapreduce.TaskCompletionEvent,0
org.apache.hadoop.mapreduce.JobStatus,1
org.apache.hadoop.mapreduce.FileSystemCounter,0
org.apache.hadoop.mapreduce.MarkableIteratorInterface,0
org.apache.hadoop.mapreduce.OutputFormat,0
org.apache.hadoop.mapreduce.QueueInfo,1
org.apache.hadoop.mapreduce.Mapper,7
org.apache.hadoop.mapreduce.RecordWriter,0
org.apache.hadoop.mapreduce.TaskType,0
org.apache.hadoop.mapreduce.JobPriority,1
org.apache.hadoop.mapreduce.JobContext,1
org.apache.hadoop.mapreduce.JobResourceUploader,10
org.apache.hadoop.mapreduce.CryptoUtils,10
org.apache.hadoop.mapreduce.TaskTrackerInfo,0
org.apache.hadoop.mapreduce.TaskAttemptID,0
org.apache.hadoop.mapreduce.JobID,1
org.apache.hadoop.mapreduce.TaskAttemptContext,0
org.apache.hadoop.mapreduce.QueueState,1
org.apache.hadoop.mapreduce.Cluster,10
org.apache.hadoop.mapreduce.InputSplit,3
org.apache.hadoop.mapreduce.StatusReporter,7
org.apache.hadoop.mapreduce.MRConfig,1
org.apache.hadoop.mapreduce.Counter,0
org.apache.hadoop.mapreduce.InputFormat,3
org.apache.hadoop.mapreduce.Job,10
org.apache.hadoop.mapreduce.Partitioner,8
org.apache.hadoop.mapreduce.ReduceContext,7
org.apache.hadoop.mapreduce.JobACL,1
org.apache.hadoop.mapreduce.CounterGroup,0
