run_id,algorithm,measure,stop_threshold,serial_threshold,cluster_count,a2a_to_acdc,cvg_to_acdc,output_rsf
247,WCA_vs_LIMBO,UEMNM_vs_IL,50_vs_25,110_vs_60,_vs_,84.82523444,0.116666667,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-50.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-60_stop-25.rsf
248,WCA_vs_LIMBO,UEMNM_vs_IL,50_vs_50,110_vs_60,_vs_,84.82523444,0.116666667,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-50.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-60_stop-50.rsf
249,WCA_vs_LIMBO,UEMNM_vs_IL,50_vs_25,110_vs_70,_vs_,85.3565365,0.128571429,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-50.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-70_stop-25.rsf
250,WCA_vs_LIMBO,UEMNM_vs_IL,50_vs_50,110_vs_70,_vs_,85.3565365,0.128571429,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-50.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-70_stop-50.rsf
251,WCA_vs_LIMBO,UEMNM_vs_IL,50_vs_25,110_vs_80,_vs_,86.17920541,0.15,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-50.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-80_stop-25.rsf
252,WCA_vs_LIMBO,UEMNM_vs_IL,50_vs_50,110_vs_80,_vs_,86.17920541,0.15,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-50.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-80_stop-50.rsf
253,WCA_vs_LIMBO,UEMNM_vs_IL,50_vs_75,110_vs_80,_vs_,86.17920541,0.15,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-50.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-80_stop-75.rsf
254,WCA_vs_LIMBO,UEMNM_vs_IL,50_vs_25,110_vs_90,_vs_,86.23737374,0.144444444,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-50.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-90_stop-25.rsf
255,WCA_vs_LIMBO,UEMNM_vs_IL,50_vs_50,110_vs_90,_vs_,86.23737374,0.144444444,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-50.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-90_stop-50.rsf
256,WCA_vs_LIMBO,UEMNM_vs_IL,50_vs_75,110_vs_90,_vs_,86.23737374,0.144444444,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-50.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-90_stop-75.rsf
257,WCA_vs_LIMBO,UEMNM_vs_IL,75_vs_100,110_vs_100,_vs_,86.63034367,0.13,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-75.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-100.rsf
258,WCA_vs_LIMBO,UEMNM_vs_IL,75_vs_25,110_vs_100,_vs_,86.63034367,0.13,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-75.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-25.rsf
259,WCA_vs_LIMBO,UEMNM_vs_IL,75_vs_50,110_vs_100,_vs_,86.63034367,0.13,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-75.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-50.rsf
260,WCA_vs_LIMBO,UEMNM_vs_IL,75_vs_75,110_vs_100,_vs_,86.63034367,0.13,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-75.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-100_stop-75.rsf
261,WCA_vs_LIMBO,UEMNM_vs_IL,75_vs_100,110_vs_110,_vs_,86.85308848,0.109090909,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-75.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-100.rsf
262,WCA_vs_LIMBO,UEMNM_vs_IL,75_vs_25,110_vs_110,_vs_,86.85308848,0.109090909,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-75.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-25.rsf
263,WCA_vs_LIMBO,UEMNM_vs_IL,75_vs_50,110_vs_110,_vs_,86.85308848,0.109090909,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-75.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-50.rsf
264,WCA_vs_LIMBO,UEMNM_vs_IL,75_vs_75,110_vs_110,_vs_,86.85308848,0.109090909,mapreduceclientcore_algo-wca_measure-uemnm_serial-110_stop-75.rsf | mapreduceclientcore_algo-limbo_measure-il_serial-110_stop-75.rsf
