Class,Cluster
org.apache.hadoop.mapreduce.ContextFactory,12
org.apache.hadoop.mapreduce.TaskCounter,9
org.apache.hadoop.mapreduce.OutputCommitter,4
org.apache.hadoop.mapreduce.TaskReport,9
org.apache.hadoop.mapreduce.RecordReader,4
org.apache.hadoop.mapreduce.Counters,0
org.apache.hadoop.mapreduce.ID,9
org.apache.hadoop.mapreduce.SharedCacheConfig,0
org.apache.hadoop.mapreduce.JobSubmissionFiles,9
org.apache.hadoop.mapreduce.TaskInputOutputContext,4
org.apache.hadoop.mapreduce.MRJobConfig,0
org.apache.hadoop.mapreduce.JobSubmitter,4
org.apache.hadoop.mapreduce.ClusterMetrics,9
org.apache.hadoop.mapreduce.MapContext,0
org.apache.hadoop.mapreduce.MarkableIterator,0
org.apache.hadoop.mapreduce.TaskCompletionEvent,9
org.apache.hadoop.mapreduce.JobStatus,9
org.apache.hadoop.mapreduce.FileSystemCounter,9
org.apache.hadoop.mapreduce.MarkableIteratorInterface,0
org.apache.hadoop.mapreduce.OutputFormat,4
org.apache.hadoop.mapreduce.QueueInfo,9
org.apache.hadoop.mapreduce.Mapper,0
org.apache.hadoop.mapreduce.RecordWriter,4
org.apache.hadoop.mapreduce.TaskType,9
org.apache.hadoop.mapreduce.JobPriority,9
org.apache.hadoop.mapreduce.JobContext,4
org.apache.hadoop.mapreduce.JobResourceUploader,4
org.apache.hadoop.mapreduce.CryptoUtils,4
org.apache.hadoop.mapreduce.TaskTrackerInfo,9
org.apache.hadoop.mapreduce.TaskAttemptID,9
org.apache.hadoop.mapreduce.JobID,9
org.apache.hadoop.mapreduce.TaskAttemptContext,12
org.apache.hadoop.mapreduce.QueueState,9
org.apache.hadoop.mapreduce.Cluster,12
org.apache.hadoop.mapreduce.InputSplit,10
org.apache.hadoop.mapreduce.StatusReporter,9
org.apache.hadoop.mapreduce.MRConfig,0
org.apache.hadoop.mapreduce.Counter,0
org.apache.hadoop.mapreduce.InputFormat,4
org.apache.hadoop.mapreduce.Job,12
org.apache.hadoop.mapreduce.Partitioner,0
org.apache.hadoop.mapreduce.ReduceContext,0
org.apache.hadoop.mapreduce.JobACL,11
org.apache.hadoop.mapreduce.CounterGroup,0
org.apache.hadoop.mapreduce.TaskID,9
org.apache.hadoop.mapreduce.Reducer,0
org.apache.hadoop.mapreduce.JobCounter,9
org.apache.hadoop.mapreduce.QueueAclsInfo,9
org.apache.hadoop.mapreduce.CustomJobEndNotifier,9
org.apache.hadoop.filecache.package-info,7
org.apache.hadoop.filecache.DistributedCache,7
org.apache.hadoop.mapred.IFileInputStream,0
org.apache.hadoop.mapred.InvalidFileTypeException,6
org.apache.hadoop.mapred.OutputCommitter,2
org.apache.hadoop.mapred.RamManager,0
org.apache.hadoop.mapred.TaskReport,9
org.apache.hadoop.mapred.RecordReader,10
org.apache.hadoop.mapred.Counters,4
org.apache.hadoop.mapred.ID,9
org.apache.hadoop.mapred.SequenceFileInputFormat,10
org.apache.hadoop.mapred.JvmContext,0
org.apache.hadoop.mapred.FileOutputFormat,0
org.apache.hadoop.mapred.KeyValueLineRecordReader,10
org.apache.hadoop.mapred.AMFeedback,0
org.apache.hadoop.mapred.MapOutputCollector,0
org.apache.hadoop.mapred.SequenceFileOutputFormat,10
org.apache.hadoop.mapred.TaskCompletionEvent,9
org.apache.hadoop.mapred.JobStatus,9
org.apache.hadoop.mapred.MapRunner,0
org.apache.hadoop.mapred.MapTaskStatus,9
org.apache.hadoop.mapred.JobACLsManager,9
org.apache.hadoop.mapred.IFile,4
org.apache.hadoop.mapred.ProgressSplitsBlock,8
org.apache.hadoop.mapred.JobInProgress,9
org.apache.hadoop.mapred.QueueConfigurationParser,4
org.apache.hadoop.mapred.FileSplit,10
org.apache.hadoop.mapred.StatisticsCollector,8
org.apache.hadoop.mapred.SequenceFileAsTextRecordReader,10
org.apache.hadoop.mapred.OutputFormat,0
org.apache.hadoop.mapred.IndexCache,0
org.apache.hadoop.mapred.SequenceFileAsTextInputFormat,10
org.apache.hadoop.mapred.MapRunnable,0
org.apache.hadoop.mapred.JobEndNotifier,9
org.apache.hadoop.mapred.JobConfigurable,9
org.apache.hadoop.mapred.Mapper,0
org.apache.hadoop.mapred.RecordWriter,0
org.apache.hadoop.mapred.InputSplitWithLocationInfo,15
org.apache.hadoop.mapred.JvmTask,0
org.apache.hadoop.mapred.Reporter,9
org.apache.hadoop.mapred.MapTaskCompletionEventsUpdate,9
org.apache.hadoop.mapred.LocatedFileStatusFetcher,4
org.apache.hadoop.mapred.BackupStore,4
org.apache.hadoop.mapred.FixedLengthRecordReader,10
org.apache.hadoop.mapred.JobPriority,9
org.apache.hadoop.mapred.JobContext,9
org.apache.hadoop.mapred.MultiFileSplit,10
org.apache.hadoop.mapred.TextInputFormat,0
org.apache.hadoop.mapred.QueueRefresher,0
org.apache.hadoop.mapred.BufferSorter,0
org.apache.hadoop.mapred.SequenceFileRecordReader,10
org.apache.hadoop.mapred.CleanupQueue,0
org.apache.hadoop.mapred.MultiFileInputFormat,10
org.apache.hadoop.mapred.TaskAttemptID,9
org.apache.hadoop.mapred.CumulativePeriodicStats,8
org.apache.hadoop.mapred.KeyValueTextInputFormat,0
org.apache.hadoop.mapred.DeprecatedQueueConfigurationParser,0
org.apache.hadoop.mapred.SequenceFileAsBinaryInputFormat,10
org.apache.hadoop.mapred.LineRecordReader,4
org.apache.hadoop.mapred.SequenceFileAsBinaryOutputFormat,10
org.apache.hadoop.mapred.FileOutputCommitter,2
org.apache.hadoop.mapred.SkipBadRecords,0
org.apache.hadoop.mapred.RunningJob,9
org.apache.hadoop.mapred.SplitLocationInfo,15
org.apache.hadoop.mapred.MROutputFiles,0
org.apache.hadoop.mapred.JobID,9
org.apache.hadoop.mapred.IndexRecord,0
org.apache.hadoop.mapred.TaskAttemptContext,9
org.apache.hadoop.mapred.MRConstants,0
org.apache.hadoop.mapred.TaskAttemptContextImpl,9
org.apache.hadoop.mapred.Clock,7
