Class,Cluster
org.apache.hadoop.mapreduce.ContextFactory,4
org.apache.hadoop.mapreduce.TaskCounter,3
org.apache.hadoop.mapreduce.OutputCommitter,4
org.apache.hadoop.mapreduce.TaskReport,3
org.apache.hadoop.mapreduce.RecordReader,4
org.apache.hadoop.mapreduce.Counters,1
org.apache.hadoop.mapreduce.ID,3
org.apache.hadoop.mapreduce.SharedCacheConfig,1
org.apache.hadoop.mapreduce.JobSubmissionFiles,3
org.apache.hadoop.mapreduce.TaskInputOutputContext,4
org.apache.hadoop.mapreduce.MRJobConfig,1
org.apache.hadoop.mapreduce.JobSubmitter,4
org.apache.hadoop.mapreduce.ClusterMetrics,3
org.apache.hadoop.mapreduce.MapContext,1
org.apache.hadoop.mapreduce.MarkableIterator,1
org.apache.hadoop.mapreduce.TaskCompletionEvent,3
org.apache.hadoop.mapreduce.JobStatus,3
org.apache.hadoop.mapreduce.FileSystemCounter,3
org.apache.hadoop.mapreduce.MarkableIteratorInterface,1
org.apache.hadoop.mapreduce.OutputFormat,4
org.apache.hadoop.mapreduce.QueueInfo,3
org.apache.hadoop.mapreduce.Mapper,1
org.apache.hadoop.mapreduce.RecordWriter,4
org.apache.hadoop.mapreduce.TaskType,3
org.apache.hadoop.mapreduce.JobPriority,3
org.apache.hadoop.mapreduce.JobContext,4
org.apache.hadoop.mapreduce.JobResourceUploader,4
org.apache.hadoop.mapreduce.CryptoUtils,4
org.apache.hadoop.mapreduce.TaskTrackerInfo,3
org.apache.hadoop.mapreduce.TaskAttemptID,3
org.apache.hadoop.mapreduce.JobID,3
org.apache.hadoop.mapreduce.TaskAttemptContext,4
org.apache.hadoop.mapreduce.QueueState,3
org.apache.hadoop.mapreduce.Cluster,4
org.apache.hadoop.mapreduce.InputSplit,1
org.apache.hadoop.mapreduce.StatusReporter,3
org.apache.hadoop.mapreduce.MRConfig,1
org.apache.hadoop.mapreduce.Counter,1
org.apache.hadoop.mapreduce.InputFormat,4
org.apache.hadoop.mapreduce.Job,4
org.apache.hadoop.mapreduce.Partitioner,1
org.apache.hadoop.mapreduce.ReduceContext,1
org.apache.hadoop.mapreduce.JobACL,5
org.apache.hadoop.mapreduce.CounterGroup,1
org.apache.hadoop.mapreduce.TaskID,3
org.apache.hadoop.mapreduce.Reducer,1
org.apache.hadoop.mapreduce.JobCounter,3
org.apache.hadoop.mapreduce.QueueAclsInfo,3
org.apache.hadoop.mapreduce.CustomJobEndNotifier,3
org.apache.hadoop.filecache.package-info,0
org.apache.hadoop.filecache.DistributedCache,0
org.apache.hadoop.mapred.IFileInputStream,1
org.apache.hadoop.mapred.InvalidFileTypeException,0
org.apache.hadoop.mapred.OutputCommitter,2
org.apache.hadoop.mapred.RamManager,1
org.apache.hadoop.mapred.TaskReport,3
org.apache.hadoop.mapred.RecordReader,1
org.apache.hadoop.mapred.Counters,4
org.apache.hadoop.mapred.ID,3
org.apache.hadoop.mapred.SequenceFileInputFormat,1
org.apache.hadoop.mapred.JvmContext,1
org.apache.hadoop.mapred.FileOutputFormat,1
org.apache.hadoop.mapred.KeyValueLineRecordReader,1
org.apache.hadoop.mapred.AMFeedback,1
org.apache.hadoop.mapred.MapOutputCollector,1
org.apache.hadoop.mapred.SequenceFileOutputFormat,1
org.apache.hadoop.mapred.TaskCompletionEvent,3
org.apache.hadoop.mapred.JobStatus,3
org.apache.hadoop.mapred.MapRunner,1
org.apache.hadoop.mapred.MapTaskStatus,3
org.apache.hadoop.mapred.JobACLsManager,3
org.apache.hadoop.mapred.IFile,4
org.apache.hadoop.mapred.ProgressSplitsBlock,0
org.apache.hadoop.mapred.JobInProgress,3
org.apache.hadoop.mapred.QueueConfigurationParser,4
org.apache.hadoop.mapred.FileSplit,1
org.apache.hadoop.mapred.StatisticsCollector,0
org.apache.hadoop.mapred.SequenceFileAsTextRecordReader,1
org.apache.hadoop.mapred.OutputFormat,1
org.apache.hadoop.mapred.IndexCache,1
org.apache.hadoop.mapred.SequenceFileAsTextInputFormat,1
org.apache.hadoop.mapred.MapRunnable,1
org.apache.hadoop.mapred.JobEndNotifier,3
org.apache.hadoop.mapred.JobConfigurable,3
org.apache.hadoop.mapred.Mapper,1
org.apache.hadoop.mapred.RecordWriter,1
org.apache.hadoop.mapred.InputSplitWithLocationInfo,0
org.apache.hadoop.mapred.JvmTask,1
org.apache.hadoop.mapred.Reporter,3
org.apache.hadoop.mapred.MapTaskCompletionEventsUpdate,3
org.apache.hadoop.mapred.LocatedFileStatusFetcher,4
org.apache.hadoop.mapred.BackupStore,4
org.apache.hadoop.mapred.FixedLengthRecordReader,1
org.apache.hadoop.mapred.JobPriority,3
org.apache.hadoop.mapred.JobContext,3
org.apache.hadoop.mapred.MultiFileSplit,1
org.apache.hadoop.mapred.TextInputFormat,1
org.apache.hadoop.mapred.QueueRefresher,1
org.apache.hadoop.mapred.BufferSorter,1
org.apache.hadoop.mapred.SequenceFileRecordReader,1
org.apache.hadoop.mapred.CleanupQueue,1
org.apache.hadoop.mapred.MultiFileInputFormat,1
org.apache.hadoop.mapred.TaskAttemptID,3
org.apache.hadoop.mapred.CumulativePeriodicStats,0
org.apache.hadoop.mapred.KeyValueTextInputFormat,1
org.apache.hadoop.mapred.DeprecatedQueueConfigurationParser,1
org.apache.hadoop.mapred.SequenceFileAsBinaryInputFormat,1
org.apache.hadoop.mapred.LineRecordReader,4
org.apache.hadoop.mapred.SequenceFileAsBinaryOutputFormat,1
org.apache.hadoop.mapred.FileOutputCommitter,2
org.apache.hadoop.mapred.SkipBadRecords,1
org.apache.hadoop.mapred.RunningJob,3
org.apache.hadoop.mapred.SplitLocationInfo,0
org.apache.hadoop.mapred.MROutputFiles,1
org.apache.hadoop.mapred.JobID,3
org.apache.hadoop.mapred.IndexRecord,1
org.apache.hadoop.mapred.TaskAttemptContext,3
org.apache.hadoop.mapred.MRConstants,1
org.apache.hadoop.mapred.TaskAttemptContextImpl,3
org.apache.hadoop.mapred.Clock,0
org.apache.hadoop.mapred.ShuffleConsumerPlugin,3
org.apache.hadoop.mapred.JobProfile,3
org.apache.hadoop.mapred.InputSplit,1
org.apache.hadoop.mapred.InvalidInputException,0
org.apache.hadoop.mapred.Merger,4
org.apache.hadoop.mapred.InvalidJobConfException,0
org.apache.hadoop.mapred.PeriodicStatsAccumulator,0
org.apache.hadoop.mapred.Utils,2
org.apache.hadoop.mapred.FileAlreadyExistsException,0
org.apache.hadoop.mapred.JobContextImpl,3
org.apache.hadoop.mapred.OutputCollector,1
org.apache.hadoop.mapred.TaskLog,4
org.apache.hadoop.mapred.JVMId,1
org.apache.hadoop.mapred.JobQueueClient,3
org.apache.hadoop.mapred.JobTracker,3
org.apache.hadoop.mapred.ReduceTaskStatus,3
org.apache.hadoop.mapred.ClusterStatus,3
org.apache.hadoop.mapred.Task,4
org.apache.hadoop.mapred.FixedLengthInputFormat,1
org.apache.hadoop.mapred.SequenceFileInputFilter,1
org.apache.hadoop.mapred.MapOutputFile,1
org.apache.hadoop.mapred.InputFormat,1
org.apache.hadoop.mapred.JobQueueInfo,3
org.apache.hadoop.mapred.ReduceTask,4
org.apache.hadoop.mapred.TaskUmbilicalProtocol,3
org.apache.hadoop.mapred.Partitioner,1
org.apache.hadoop.mapred.Operation,5
org.apache.hadoop.mapred.JobConf,4
org.apache.hadoop.mapred.OutputLogFilter,2
org.apache.hadoop.mapred.QueueACL,3
org.apache.hadoop.mapred.RawKeyValueIterator,1
org.apache.hadoop.mapred.StatePeriodicStats,0
org.apache.hadoop.mapred.QueueManager,4
org.apache.hadoop.mapred.TaskID,3
org.apache.hadoop.mapred.Reducer,1
org.apache.hadoop.mapred.MapTask,4
org.apache.hadoop.mapred.JobClient,4
org.apache.hadoop.mapred.Master,1
org.apache.hadoop.mapred.BasicTypeSorterBase,1
org.apache.hadoop.mapred.QueueAclsInfo,3
org.apache.hadoop.mapred.JobInfo,3
org.apache.hadoop.mapred.TIPStatus,3
org.apache.hadoop.mapred.TaskStatus,3
org.apache.hadoop.mapred.TextOutputFormat,1
org.apache.hadoop.mapred.SpillRecord,1
org.apache.hadoop.mapred.Queue,3
org.apache.hadoop.mapred.MapReduceBase,3
org.apache.hadoop.mapred.SortedRanges,1
org.apache.hadoop.mapred.FileInputFormat,4
org.apache.hadoop.mapred.MergeSorter,1
org.apache.hadoop.mapred.MapFileOutputFormat,1
org.apache.hadoop.mapred.IFileOutputStream,1
org.apache.hadoop.mapreduce.jobhistory.TaskFinishedEvent,3
org.apache.hadoop.mapreduce.jobhistory.JobHistoryParser,3
org.apache.hadoop.mapreduce.jobhistory.TaskFailedEvent,3
org.apache.hadoop.mapreduce.jobhistory.HistoryEventHandler,3
org.apache.hadoop.mapreduce.jobhistory.EventWriter,3
org.apache.hadoop.mapreduce.jobhistory.AvroArrayUtils,3
org.apache.hadoop.mapreduce.jobhistory.TaskStartedEvent,3
org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent,3
org.apache.hadoop.mapreduce.jobhistory.HumanReadableHistoryViewerPrinter,3
org.apache.hadoop.mapreduce.jobhistory.package-info,3
org.apache.hadoop.mapreduce.jobhistory.HistoryEvent,3
org.apache.hadoop.mapreduce.jobhistory.TaskAttemptStartedEvent,3
org.apache.hadoop.mapreduce.jobhistory.TaskAttemptFinishedEvent,3
org.apache.hadoop.mapreduce.jobhistory.EventReader,3
org.apache.hadoop.mapreduce.jobhistory.JobInitedEvent,3
org.apache.hadoop.mapreduce.jobhistory.JobPriorityChangeEvent,3
org.apache.hadoop.mapreduce.jobhistory.TaskUpdatedEvent,3
org.apache.hadoop.mapreduce.jobhistory.JobSubmittedEvent,3
org.apache.hadoop.mapreduce.jobhistory.NormalizedResourceEvent,3
org.apache.hadoop.mapreduce.jobhistory.JobInfoChangeEvent,3
org.apache.hadoop.mapreduce.jobhistory.JobFinishedEvent,3
org.apache.hadoop.mapreduce.jobhistory.JobUnsuccessfulCompletionEvent,3
org.apache.hadoop.mapreduce.jobhistory.MapAttemptFinishedEvent,3
org.apache.hadoop.mapreduce.jobhistory.HistoryViewerPrinter,3
org.apache.hadoop.mapreduce.jobhistory.JSONHistoryViewerPrinter,3
