Class,Cluster
org.apache.hadoop.mapreduce.ContextFactory,0
org.apache.hadoop.mapreduce.TaskCounter,0
org.apache.hadoop.mapreduce.OutputCommitter,2
org.apache.hadoop.mapreduce.TaskReport,0
org.apache.hadoop.mapreduce.RecordReader,3
org.apache.hadoop.mapreduce.Counters,0
org.apache.hadoop.mapreduce.ID,1
org.apache.hadoop.mapreduce.SharedCacheConfig,0
org.apache.hadoop.mapreduce.JobSubmissionFiles,0
org.apache.hadoop.mapreduce.TaskInputOutputContext,0
org.apache.hadoop.mapreduce.MRJobConfig,0
org.apache.hadoop.mapreduce.JobSubmitter,6
org.apache.hadoop.mapreduce.ClusterMetrics,0
org.apache.hadoop.mapreduce.MapContext,0
org.apache.hadoop.mapreduce.MarkableIterator,1
org.apache.hadoop.mapreduce.TaskCompletionEvent,0
org.apache.hadoop.mapreduce.JobStatus,0
org.apache.hadoop.mapreduce.FileSystemCounter,1
org.apache.hadoop.mapreduce.MarkableIteratorInterface,1
org.apache.hadoop.mapreduce.OutputFormat,0
org.apache.hadoop.mapreduce.QueueInfo,0
org.apache.hadoop.mapreduce.Mapper,3
org.apache.hadoop.mapreduce.RecordWriter,0
org.apache.hadoop.mapreduce.TaskType,1
org.apache.hadoop.mapreduce.JobPriority,0
org.apache.hadoop.mapreduce.JobContext,0
org.apache.hadoop.mapreduce.JobResourceUploader,6
org.apache.hadoop.mapreduce.CryptoUtils,6
org.apache.hadoop.mapreduce.TaskTrackerInfo,0
org.apache.hadoop.mapreduce.TaskAttemptID,0
org.apache.hadoop.mapreduce.JobID,0
org.apache.hadoop.mapreduce.TaskAttemptContext,0
org.apache.hadoop.mapreduce.QueueState,0
org.apache.hadoop.mapreduce.Cluster,6
org.apache.hadoop.mapreduce.InputSplit,3
org.apache.hadoop.mapreduce.StatusReporter,0
org.apache.hadoop.mapreduce.MRConfig,0
org.apache.hadoop.mapreduce.Counter,0
org.apache.hadoop.mapreduce.InputFormat,3
org.apache.hadoop.mapreduce.Job,6
org.apache.hadoop.mapreduce.Partitioner,0
org.apache.hadoop.mapreduce.ReduceContext,0
org.apache.hadoop.mapreduce.JobACL,7
org.apache.hadoop.mapreduce.CounterGroup,0
org.apache.hadoop.mapreduce.TaskID,0
org.apache.hadoop.mapreduce.Reducer,3
org.apache.hadoop.mapreduce.JobCounter,0
org.apache.hadoop.mapreduce.QueueAclsInfo,0
org.apache.hadoop.mapreduce.CustomJobEndNotifier,0
org.apache.hadoop.filecache.package-info,5
org.apache.hadoop.filecache.DistributedCache,0
org.apache.hadoop.mapred.IFileInputStream,5
org.apache.hadoop.mapred.InvalidFileTypeException,1
org.apache.hadoop.mapred.OutputCommitter,2
org.apache.hadoop.mapred.RamManager,5
org.apache.hadoop.mapred.TaskReport,0
org.apache.hadoop.mapred.RecordReader,3
org.apache.hadoop.mapred.Counters,0
org.apache.hadoop.mapred.ID,1
org.apache.hadoop.mapred.SequenceFileInputFormat,3
org.apache.hadoop.mapred.JvmContext,0
org.apache.hadoop.mapred.FileOutputFormat,0
org.apache.hadoop.mapred.KeyValueLineRecordReader,3
org.apache.hadoop.mapred.AMFeedback,5
org.apache.hadoop.mapred.MapOutputCollector,0
org.apache.hadoop.mapred.SequenceFileOutputFormat,3
org.apache.hadoop.mapred.TaskCompletionEvent,0
org.apache.hadoop.mapred.JobStatus,0
org.apache.hadoop.mapred.MapRunner,3
org.apache.hadoop.mapred.MapTaskStatus,0
org.apache.hadoop.mapred.JobACLsManager,0
org.apache.hadoop.mapred.IFile,6
org.apache.hadoop.mapred.ProgressSplitsBlock,11
org.apache.hadoop.mapred.JobInProgress,0
org.apache.hadoop.mapred.QueueConfigurationParser,6
org.apache.hadoop.mapred.FileSplit,3
org.apache.hadoop.mapred.StatisticsCollector,11
org.apache.hadoop.mapred.SequenceFileAsTextRecordReader,3
org.apache.hadoop.mapred.OutputFormat,0
org.apache.hadoop.mapred.IndexCache,0
org.apache.hadoop.mapred.SequenceFileAsTextInputFormat,3
org.apache.hadoop.mapred.MapRunnable,3
org.apache.hadoop.mapred.JobEndNotifier,0
org.apache.hadoop.mapred.JobConfigurable,1
org.apache.hadoop.mapred.Mapper,3
org.apache.hadoop.mapred.RecordWriter,0
org.apache.hadoop.mapred.InputSplitWithLocationInfo,8
org.apache.hadoop.mapred.JvmTask,0
org.apache.hadoop.mapred.Reporter,0
org.apache.hadoop.mapred.MapTaskCompletionEventsUpdate,0
org.apache.hadoop.mapred.LocatedFileStatusFetcher,6
org.apache.hadoop.mapred.BackupStore,6
org.apache.hadoop.mapred.FixedLengthRecordReader,0
org.apache.hadoop.mapred.JobPriority,0
org.apache.hadoop.mapred.JobContext,0
org.apache.hadoop.mapred.MultiFileSplit,3
org.apache.hadoop.mapred.TextInputFormat,0
org.apache.hadoop.mapred.QueueRefresher,5
org.apache.hadoop.mapred.BufferSorter,3
org.apache.hadoop.mapred.SequenceFileRecordReader,3
org.apache.hadoop.mapred.CleanupQueue,5
org.apache.hadoop.mapred.MultiFileInputFormat,3
org.apache.hadoop.mapred.TaskAttemptID,0
