Full_Class_Name,Cluster_ID
org.apache.hadoop.mapreduce.v2.LogParams,6
org.apache.hadoop.mapreduce.util.CountersStrings,6
org.apache.hadoop.mapreduce.util.ProcessTree,1
org.apache.hadoop.mapreduce.util.HostUtil,1
org.apache.hadoop.mapreduce.util.ResourceBundles,2
org.apache.hadoop.mapreduce.util.package-info,1
org.apache.hadoop.mapreduce.util.ConfigUtil,8
org.apache.hadoop.mapreduce.util.JobHistoryEventUtils,9
org.apache.hadoop.mapreduce.util.MRJobConfUtil,1
org.apache.hadoop.mapreduce.checkpoint.FSCheckpointID,0
org.apache.hadoop.mapreduce.checkpoint.TaskCheckpointID,0
org.apache.hadoop.mapreduce.checkpoint.EnumCounter,0
org.apache.hadoop.mapreduce.checkpoint.FSCheckpointService,0
org.apache.hadoop.mapreduce.checkpoint.CheckpointService,0
org.apache.hadoop.mapreduce.checkpoint.RandomNameCNS,0
org.apache.hadoop.mapreduce.checkpoint.CheckpointNamingService,0
org.apache.hadoop.mapreduce.checkpoint.CheckpointID,0
org.apache.hadoop.mapreduce.checkpoint.SimpleNamingService,0
org.apache.hadoop.mapreduce.filecache.ClientDistributedCacheManager,6
org.apache.hadoop.mapreduce.filecache.package-info,1
org.apache.hadoop.mapreduce.filecache.DistributedCache,6
org.apache.hadoop.mapreduce.tools.CLI,8
org.apache.hadoop.mapreduce.task.annotation.Checkpointable,1
org.apache.hadoop.mapreduce.task.reduce.ShuffleHeader,6
org.apache.hadoop.mapreduce.task.reduce.EventFetcher,6
org.apache.hadoop.mapreduce.task.reduce.LocalFetcher,6
org.apache.hadoop.mapreduce.task.reduce.MergeManagerImpl,8
org.apache.hadoop.mapreduce.task.reduce.ShuffleScheduler,6
org.apache.hadoop.mapreduce.task.reduce.MapHost,6
org.apache.hadoop.mapreduce.task.reduce.IFileWrappedMapOutput,6
org.apache.hadoop.mapreduce.task.reduce.Fetcher,6
org.apache.hadoop.mapreduce.task.reduce.InMemoryMapOutput,6
org.apache.hadoop.mapreduce.task.reduce.InMemoryWriter,6
org.apache.hadoop.mapreduce.task.reduce.ShuffleSchedulerImpl,8
org.apache.hadoop.mapreduce.task.reduce.ShuffleClientMetrics,6
org.apache.hadoop.mapreduce.task.reduce.OnDiskMapOutput,6
org.apache.hadoop.mapreduce.task.reduce.package-info,1
org.apache.hadoop.mapreduce.task.reduce.MapOutput,6
org.apache.hadoop.mapreduce.task.reduce.ExceptionReporter,2
org.apache.hadoop.mapreduce.task.reduce.InMemoryReader,6
org.apache.hadoop.mapreduce.task.reduce.MergeManager,6
org.apache.hadoop.mapreduce.task.reduce.Shuffle,6
org.apache.hadoop.mapreduce.task.reduce.MergeThread,6
org.apache.hadoop.mapreduce.server.tasktracker.TTConfig,1
org.apache.hadoop.mapreduce.server.jobtracker.JTConfig,1
org.apache.hadoop.mapreduce.lib.db.DataDrivenDBInputFormat,4
org.apache.hadoop.mapreduce.lib.db.FloatSplitter,7
org.apache.hadoop.mapreduce.lib.db.OracleDateSplitter,7
org.apache.hadoop.mapreduce.lib.db.IntegerSplitter,7
org.apache.hadoop.mapreduce.lib.db.DateSplitter,7
org.apache.hadoop.mapreduce.lib.db.DataDrivenDBRecordReader,7
org.apache.hadoop.mapreduce.lib.db.DBInputFormat,4
org.apache.hadoop.mapreduce.lib.db.DBConfiguration,7
org.apache.hadoop.mapreduce.lib.db.MySQLDBRecordReader,7
org.apache.hadoop.mapreduce.lib.db.DBWritable,3
org.apache.hadoop.mapreduce.lib.db.TextSplitter,7
org.apache.hadoop.mapreduce.lib.db.MySQLDataDrivenDBRecordReader,7
org.apache.hadoop.mapreduce.lib.db.DBRecordReader,7
org.apache.hadoop.mapreduce.lib.db.BooleanSplitter,7
org.apache.hadoop.mapreduce.lib.db.BigDecimalSplitter,7
org.apache.hadoop.mapreduce.lib.db.OracleDataDrivenDBRecordReader,7
org.apache.hadoop.mapreduce.lib.db.OracleDBRecordReader,7
org.apache.hadoop.mapreduce.lib.db.DBOutputFormat,5
org.apache.hadoop.mapreduce.lib.db.DBSplitter,7
org.apache.hadoop.mapreduce.lib.db.OracleDataDrivenDBInputFormat,7
org.apache.hadoop.mapreduce.lib.aggregate.LongValueSum,2
org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregatorDescriptor,2
org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregatorReducer,2
org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregatorBaseDescriptor,2
org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregatorMapper,2
org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregatorJobBase,2
org.apache.hadoop.mapreduce.lib.aggregate.StringValueMax,2
org.apache.hadoop.mapreduce.lib.aggregate.StringValueMin,2
org.apache.hadoop.mapreduce.lib.aggregate.UniqValueCount,2
org.apache.hadoop.mapreduce.lib.aggregate.LongValueMin,2
org.apache.hadoop.mapreduce.lib.aggregate.ValueHistogram,2
org.apache.hadoop.mapreduce.lib.aggregate.UserDefinedValueAggregatorDescriptor,2
org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregatorCombiner,2
org.apache.hadoop.mapreduce.lib.aggregate.DoubleValueSum,2
org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregatorJob,8
org.apache.hadoop.mapreduce.lib.aggregate.LongValueMax,2
org.apache.hadoop.mapreduce.lib.aggregate.ValueAggregator,2
org.apache.hadoop.mapreduce.lib.fieldsel.FieldSelectionReducer,3
org.apache.hadoop.mapreduce.lib.fieldsel.FieldSelectionMapper,3
org.apache.hadoop.mapreduce.lib.fieldsel.FieldSelectionHelper,3
org.apache.hadoop.mapreduce.lib.join.WrappedRecordReader,3
org.apache.hadoop.mapreduce.lib.join.ResetableIterator,3
org.apache.hadoop.mapreduce.lib.join.CompositeInputSplit,4
org.apache.hadoop.mapreduce.lib.join.StreamBackedIterator,3
org.apache.hadoop.mapreduce.lib.join.MultiFilterRecordReader,3
org.apache.hadoop.mapreduce.lib.join.Parser,8
org.apache.hadoop.mapreduce.lib.join.OverrideRecordReader,3
org.apache.hadoop.mapreduce.lib.join.ComposableInputFormat,4
org.apache.hadoop.mapreduce.lib.join.CompositeInputFormat,4
org.apache.hadoop.mapreduce.lib.join.ComposableRecordReader,3
org.apache.hadoop.mapreduce.lib.join.ArrayListBackedIterator,3
org.apache.hadoop.mapreduce.lib.join.CompositeRecordReader,3
org.apache.hadoop.mapreduce.lib.join.JoinRecordReader,3
org.apache.hadoop.mapreduce.lib.join.InnerJoinRecordReader,3
org.apache.hadoop.mapreduce.lib.join.TupleWritable,3
org.apache.hadoop.mapreduce.lib.join.OuterJoinRecordReader,3
org.apache.hadoop.mapreduce.lib.reduce.WrappedReducer,6
org.apache.hadoop.mapreduce.lib.reduce.LongSumReducer,6
org.apache.hadoop.mapreduce.lib.reduce.IntSumReducer,6
org.apache.hadoop.mapreduce.lib.input.CombineFileSplit,4
org.apache.hadoop.mapreduce.lib.input.CombineTextInputFormat,4
org.apache.hadoop.mapreduce.lib.input.SequenceFileInputFormat,4
org.apache.hadoop.mapreduce.lib.input.KeyValueLineRecordReader,4
org.apache.hadoop.mapreduce.lib.input.SplitLineReader,4
org.apache.hadoop.mapreduce.lib.input.MultipleInputs,4
org.apache.hadoop.mapreduce.lib.input.CombineFileRecordReader,4
org.apache.hadoop.mapreduce.lib.input.DelegatingRecordReader,4
org.apache.hadoop.mapreduce.lib.input.FileSplit,4
org.apache.hadoop.mapreduce.lib.input.SequenceFileAsTextRecordReader,4
org.apache.hadoop.mapreduce.lib.input.CompressedSplitLineReader,4
org.apache.hadoop.mapreduce.lib.input.SequenceFileAsTextInputFormat,4
org.apache.hadoop.mapreduce.lib.input.DelegatingInputFormat,4
org.apache.hadoop.mapreduce.lib.input.CombineSequenceFileInputFormat,4
org.apache.hadoop.mapreduce.lib.input.CombineFileInputFormat,4
org.apache.hadoop.mapreduce.lib.input.FixedLengthRecordReader,4
org.apache.hadoop.mapreduce.lib.input.TextInputFormat,4
org.apache.hadoop.mapreduce.lib.input.SequenceFileRecordReader,4
org.apache.hadoop.mapreduce.lib.input.KeyValueTextInputFormat,4
org.apache.hadoop.mapreduce.lib.input.SequenceFileAsBinaryInputFormat,4
org.apache.hadoop.mapreduce.lib.input.LineRecordReader,4
org.apache.hadoop.mapreduce.lib.input.NLineInputFormat,4
org.apache.hadoop.mapreduce.lib.input.InvalidInputException,2
org.apache.hadoop.mapreduce.lib.input.DelegatingMapper,4
org.apache.hadoop.mapreduce.lib.input.CombineFileRecordReaderWrapper,4
org.apache.hadoop.mapreduce.lib.input.FixedLengthInputFormat,4
org.apache.hadoop.mapreduce.lib.input.SequenceFileInputFilter,4
org.apache.hadoop.mapreduce.lib.input.TaggedInputSplit,4
org.apache.hadoop.mapreduce.lib.input.UncompressedSplitLineReader,4
org.apache.hadoop.mapreduce.lib.input.FileInputFormat,4
org.apache.hadoop.mapreduce.lib.input.FileInputFormatCounter,1
org.apache.hadoop.mapreduce.lib.jobcontrol.JobControl,1
org.apache.hadoop.mapreduce.lib.jobcontrol.ControlledJob,1
org.apache.hadoop.mapreduce.lib.map.TokenCounterMapper,2
org.apache.hadoop.mapreduce.lib.map.WrappedMapper,8
org.apache.hadoop.mapreduce.lib.map.MultithreadedMapper,8
org.apache.hadoop.mapreduce.lib.map.RegexMapper,2
org.apache.hadoop.mapreduce.lib.map.InverseMapper,1
org.apache.hadoop.mapreduce.lib.output.FileOutputFormat,5
org.apache.hadoop.mapreduce.lib.output.MultipleOutputs,5
org.apache.hadoop.mapreduce.lib.output.NullOutputFormat,5
org.apache.hadoop.mapreduce.lib.output.SequenceFileOutputFormat,5
org.apache.hadoop.mapreduce.lib.output.NamedCommitterFactory,5
org.apache.hadoop.mapreduce.lib.output.PathOutputCommitterFactory,5
org.apache.hadoop.mapreduce.lib.output.FileOutputFormatCounter,1
org.apache.hadoop.mapreduce.lib.output.PartialOutputCommitter,1
org.apache.hadoop.mapreduce.lib.output.PathOutputCommitter,5
org.apache.hadoop.mapreduce.lib.output.PartialFileOutputCommitter,5
org.apache.hadoop.mapreduce.lib.output.FilterOutputFormat,5
org.apache.hadoop.mapreduce.lib.output.SequenceFileAsBinaryOutputFormat,5
org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,5
org.apache.hadoop.mapreduce.lib.output.BindingPathOutputCommitter,5
org.apache.hadoop.mapreduce.lib.output.TextOutputFormat,5
org.apache.hadoop.mapreduce.lib.output.LazyOutputFormat,5
org.apache.hadoop.mapreduce.lib.output.FileOutputCommitterFactory,5
org.apache.hadoop.mapreduce.lib.output.MapFileOutputFormat,5
org.apache.hadoop.mapreduce.lib.chain.ChainReducer,1
org.apache.hadoop.mapreduce.lib.chain.ChainMapContextImpl,8
org.apache.hadoop.mapreduce.lib.chain.Chain,8
org.apache.hadoop.mapreduce.lib.chain.ChainReduceContextImpl,8
org.apache.hadoop.mapreduce.lib.chain.ChainMapper,1
org.apache.hadoop.mapreduce.lib.partition.InputSampler,8
org.apache.hadoop.mapreduce.lib.partition.KeyFieldBasedPartitioner,3
org.apache.hadoop.mapreduce.lib.partition.HashPartitioner,3
org.apache.hadoop.mapreduce.lib.partition.KeyFieldHelper,3
org.apache.hadoop.mapreduce.lib.partition.BinaryPartitioner,3
org.apache.hadoop.mapreduce.lib.partition.RehashPartitioner,3
org.apache.hadoop.mapreduce.lib.partition.TotalOrderPartitioner,3
org.apache.hadoop.mapreduce.lib.partition.KeyFieldBasedComparator,3
